ref_id,name,chassis_code,year,price_usd,price_jpy,mileage_km,engine_cc,fuel,transmission,steering,vehicle_type,options,has_sunroof,has_leather,has_navigation,has_alloy_wheels,has_4wd,has_airbag,has_abs,has_camera,location,date_listed,detail_url
CD357480,2023 TOYOTA HARRIER PHEV Z,CD357480,2023,"$25,040",,37967,2500,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/harrier-phev/cd357480/id/15311849/?mfg_year_from=2018
CD357483,2018 LEXUS LX,CD357483,2018,"$45,230",,57031,5700,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/lexus/lx/cd357483/id/15311852/?mfg_year_from=2018
CD357484,2024 TOYOTA CROWN Z,CD357484,2024,"$37,610",,2588,2500,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/crown/cd357484/id/15311853/?mfg_year_from=2018
CD357491,2023 SUZUKI HUSTLER J2,CD357491,2023,"$10,800",,22500,660,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/suzuki/hustler/cd357491/id/15311860/?mfg_year_from=2018
CD357492,2023 MERCEDES-BENZ GLB- CLASS GLB200D4AMG,CD357492,2023,"$30,200",,19365,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/mercedes-benz/glb-class/cd357492/id/15311861/?mfg_year_from=2018
CD357497,2021 MAZDA CX-8 25SPROACTIVE4WD6,CD357497,2021,"$14,040",,44545,2500,,AT,,,,0,0,0,0,1,0,0,0,Niigata,,https://www.beforward.jp/mazda/cx-8/cd357497/id/15311866/?mfg_year_from=2018
CD357544,2023 SUZUKI JIMNY XC,CD357544,2023,"$13,110",,10171,660,,MT,,,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/suzuki/jimny/cd357544/id/15311913/?mfg_year_from=2018
CD357545,2024 JEEP GRAND CHEROKEE,CD357545,2024,"$37,000",,14515,2000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/grand-cherokee/cd357545/id/15311914/?mfg_year_from=2018
CD357551,2023 JEEP COMPASS,CD357551,2023,"$15,420",,66930,2400,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/compass/cd357551/id/15311920/?mfg_year_from=2018
CD357552,2023 JEEP COMMANDER,CD357552,2023,"$23,030",,42148,2000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/commander/cd357552/id/15311921/?mfg_year_from=2018
CD357567,2022 LEXUS LX,CD357567,2022,"$87,610",,28493,3500,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/lexus/lx/cd357567/id/15311937/?mfg_year_from=2018
CD357573,2024 MERCEDES-BENZ EQA 250AMG,CD357573,2024,"$29,140",,7906,,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/mercedes-benz/eqa/cd357573/id/15311943/?mfg_year_from=2018
CD357585,2026 SUZUKI JIMNY NOMADE FC,CD357585,2026,"$21,430",,915,1500,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/suzuki/jimny-nomade/cd357585/id/15311955/?mfg_year_from=2018
CD357593,2023 JEEP WRANGLER,CD357593,2023,"$35,680",,13768,2000,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/wrangler/cd357593/id/15311963/?mfg_year_from=2018
CD357596,2018 LEXUS RX L,CD357596,2018,"$16,760",,95408,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/lexus/rx/cd357596/id/15311966/?mfg_year_from=2018
CD357607,2023 VOLKSWAGEN T-ROC TDIR,CD357607,2023,"$17,410",,16965,2000,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/volkswagen/t-roc/cd357607/id/15311977/?mfg_year_from=2018
CD357616,2023 NISSAN ARIYA B6,CD357616,2023,"$19,410",,40396,,,AT,,,,0,0,0,0,0,0,0,0,Kobe,,https://www.beforward.jp/nissan/ariya/cd357616/id/15311986/?mfg_year_from=2018
CD357620,2021 MAZDA CX-8 XD7,CD357620,2021,"$19,610",,29849,2200,,AT,,,,0,0,0,0,0,0,0,0,Niigata,,https://www.beforward.jp/mazda/cx-8/cd357620/id/15311990/?mfg_year_from=2018
CD357641,2023 LEXUS UX L,CD357641,2023,"$25,700",,9131,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/lexus/ux/cd357641/id/15312011/?mfg_year_from=2018
CD357679,2022 SUBARU FORESTER X-,CD357679,2022,"$22,380",,29226,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/subaru/forester/cd357679/id/15312049/?mfg_year_from=2018
CD357684,2020 BMW X3 XDRIVE20DX,CD357684,2020,"$15,830",,68808,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/bmw/x3/cd357684/id/15312054/?mfg_year_from=2018
CD357710,2018 SUZUKI JIMNY XG,CD357710,2018,"$7,550",,54120,660,,MT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/suzuki/jimny/cd357710/id/15312080/?mfg_year_from=2018
CD357635,2019 HONDA FREED HYBRID G,CD357635,2019,"$11,780",,25249,1500,HYBRID,AT,,,,0,0,0,0,0,0,0,0,Kobe,,https://www.beforward.jp/honda/freed-hybrid/cd357635/id/15312005/?mfg_year_from=2018
CD357653,2018 BMW MINI,CD357653,2018,"$10,470",,33786,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/bmw/mini/cd357653/id/15312023/?mfg_year_from=2018
CD356533,2026 TOYOTA HIACE VAN,CD356533,2026,"$30,470",,100,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/hiace-van/cd356533/id/15310760/?mfg_year_from=2018
CD356534,2019 TOYOTA HIACE VAN,CD356534,2019,"$19,480",,96000,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/hiace-van/cd356534/id/15310761/?mfg_year_from=2018
CD356536,2019 TOYOTA HIACE VAN,CD356536,2019,"$16,960",,112000,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/hiace-van/cd356536/id/15310763/?mfg_year_from=2018
CD356575,2022 TOYOTA HIACE VAN,CD356575,2022,"$53,050",,6412,2700,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd356575/id/15310817/?mfg_year_from=2018
CD356537,2025 AUDI Q3,CD356537,2025,"$27,550",,1152,1500,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/audi/q3/cd356537/id/15310764/?mfg_year_from=2018
CD356538,2025 AUDI Q5,CD356538,2025,"$45,630",,1000,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/audi/q5/cd356538/id/15310765/?mfg_year_from=2018
CD356581,2018 TOYOTA HIACE VAN,CD356581,2018,"$17,490",,32654,2000,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd356581/id/15310824/?mfg_year_from=2018
CD356494,2018 TOYOTA HILUX 2.4 E REVO SMART CAB,CD356494,2018,"$14,680",,47900,2393,,MT,,,,0,0,0,0,0,0,0,0,Thailand,,https://www.beforward.jp/toyota/hilux/cd356494/id/15310666/?mfg_year_from=2018
CD356493,2024 FORD RANGER 2.0 FORD WILDTRAK DOUBLE CAB,CD356493,2024,"$30,310",,26440,1996,,AT,,,,0,0,0,0,0,0,0,0,Thailand,,https://www.beforward.jp/ford/ranger/cd356493/id/15310663/?mfg_year_from=2018
CD356516,2022 MAZDA CX-5,CD356516,2022,"$13,240",,80103,2200,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/mazda/cx-5/cd356516/id/15310720/?mfg_year_from=2018
CD356517,2021 JEEP COMPASS,CD356517,2021,"$13,120",,22539,2400,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/jeep/compass/cd356517/id/15310721/?mfg_year_from=2018
CD356522,2021 BMW X1,CD356522,2021,"$21,120",,30000,2000,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/bmw/x1/cd356522/id/15310727/?mfg_year_from=2018
